Fuel_Type,Body_Type,Transmission,Number_of_Owners,Car_Model,Price,Registration_Year,Seats,Kms_Driven,mileage(kmpl),max_power(bhp),Power Steering,Air Conditioner,Heater,Centeral Locking,Child Safety Locks,Anti Theft Device
0,2,0,1,54,750000.0,2018,5,30000,17.1,105.5,1,1,1,1,1,1
0,1,1,1,55,1758500.0,2022,6,7100,14.2,156.9,1,1,1,1,1,0
0,0,0,1,45,271000.0,2010,5,43679,19.81,68.05,1,1,1,0,0,0
0,1,1,1,37,1280000.0,2018,5,40000,14.8,121.3,1,1,1,1,1,1
1,0,0,1,11,436000.00000000006,2012,5,40562,22.54,88.76,1,1,1,1,0,0
0,1,1,2,37,1675000.0,2021,5,26500,0.0,0.0,1,1,1,1,1,0
1,1,1,1,10,1350000.0,2016,7,58600,16.0,140.0,1,1,1,1,1,1
0,1,1,1,56,1758500.0,2020,5,42050,18.4,147.94,1,1,1,1,1,1
0,0,1,1,0,475000.0,2016,5,65017,23.1,67.04,1,1,1,1,1,1
1,2,1,2,57,600000.0,2008,5,80000,13.2,170.0,1,1,1,1,1,0
0,1,1,1,5,1758500.0,2021,5,30000,14.1,160.77,1,1,1,1,1,1
0,1,1,1,30,1625000.0,2020,5,20000,16.5,138.08,1,1,1,1,1,0
1,1,1,2,58,1758500.0,2016,5,30000,14.16,174.3,1,1,1,1,1,1
0,0,0,1,50,385000.0,2017,5,52204,24.39,65.71,1,1,1,1,1,0
0,0,0,3,11,300000.0,2012,5,110000,17.0,0.0,1,1,1,1,1,0
1,1,1,1,59,1758500.0,2017,7,89000,10.91,197.0,1,1,1,1,1,1
0,0,0,2,27,276000.0,2014,5,29813,22.05,47.33,1,1,1,1,1,0
0,0,1,1,60,730000.0,2020,5,13345,20.89,81.8,1,1,1,1,1,1
1,1,1,1,55,1758500.0,2022,7,17100,18.1,113.42,1,1,1,1,1,0
0,0,0,1,8,399000.0,2014,5,75000,18.9,82.0,1,1,1,1,1,1
0,0,0,2,45,312000.0,2011,5,75523,20.36,78.9,1,1,1,1,0,0
1,1,0,1,10,1275000.0,2015,7,47000,16.0,140.0,1,1,1,1,1,1
1,1,0,1,38,1758500.0,2022,5,36500,16.35,167.67,1,1,1,1,1,0
1,1,0,1,37,1260000.0,2016,5,50000,19.67,126.2,1,1,1,1,1,1
0,0,0,2,45,300000.0,2010,5,90000,20.36,78.9,1,1,1,1,0,0
1,1,1,2,61,1758500.0,2016,5,70000,15.97,258.0,1,1,1,1,1,1
0,0,0,1,11,627000.0,2016,5,52571,18.6,81.83,1,1,1,1,1,1
1,2,1,2,57,1300000.0,2010,5,70000,16.07,181.0,1,1,1,1,1,0
0,2,0,1,13,672000.0,2015,5,61993,17.4,117.3,1,1,1,1,1,1
1,1,1,1,62,1758500.0,2017,5,57000,16.38,182.46,1,1,1,1,1,1
1,1,0,2,23,1758500.0,2021,7,80000,14.24,174.5,1,1,1,1,1,1
0,0,0,1,11,440000.00000000006,2013,5,36359,18.5,82.85,1,1,1,1,0,0
1,1,0,2,38,1460000.0,2019,5,70000,17.0,138.1,1,1,1,1,1,1
0,1,1,1,63,1758500.0,2022,5,7500,0.0,0.0,1,1,1,1,1,0
0,2,1,1,64,1033000.0,2017,5,30301,17.0,121.3,1,1,1,1,1,1
0,0,0,1,45,275000.0,2010,5,66000,20.36,78.9,1,1,1,1,0,0
0,0,0,1,11,676000.0,2017,5,56010,18.6,81.83,1,1,1,1,1,1
1,1,1,1,65,1758500.0,2017,5,47000,17.9,170.0,1,1,1,1,1,1
1,1,0,2,66,650000.0,2014,5,60000,19.01,108.5,1,1,1,1,1,1
1,0,0,1,14,444000.00000000006,2014,5,83829,25.2,74.0,1,1,1,1,1,1
0,0,1,1,34,509999.99999999994,2020,5,10000,22.0,67.0,1,1,1,1,1,1
